"V1","V2"
-25.2909663865546,7.38990364408119
-25.4229931612801,7.81302521008404
-25.5763813275086,8.4264705882353
-25.7011278610711,9.03991596638656
-25.7646682774559,9.65336134453782
-25.7941039020946,10.2668067226891
-25.780315175472,10.8802521008403
-25.7449511440435,11.4936974789916
-25.6589087458769,12.1071428571429
-25.5143920589376,12.7205882352941
-25.3678640909802,13.3340336134454
-25.2909663865546,13.5287779204788
-25.1488395334335,13.9474789915966
-24.8835346871797,14.5609243697479
-24.6775210084034,14.9849995651039
-24.597946956693,15.1743697478992
-24.236423674493,15.7878151260504
-24.0640756302521,16.0580840668092
-23.8297064714703,16.4012605042017
-23.4506302521008,16.8763233527604
-23.3439197941966,17.0147058823529
-22.8371848739496,17.5756319461431
-22.7783158749196,17.6281512605042
-22.2237394957983,18.0986274352286
-22.0238902451667,18.2415966386555
-21.6102941176471,18.534396901967
-21.0818597219845,18.8550420168067
-20.9968487394958,18.9036016255426
-20.3834033613445,19.1752608001914
-19.7699579831933,19.399991281224
-19.5074995488412,19.468487394958
-19.156512605042,19.5795119809743
-18.5430672268908,19.6937326234085
-17.9296218487395,19.7947146046456
-17.3161764705882,19.8571195711174
-16.702731092437,19.8907943214716
-16.0892857142857,19.8986522813893
-15.4758403361345,19.8621447476256
-14.8623949579832,19.8214324357283
-14.2489495798319,19.745400050492
-13.6355042016807,19.6476632770763
-13.0220588235294,19.5673432662459
-12.5197669767439,19.468487394958
-12.4086134453782,19.4494170206623
-11.7951680672269,19.292542110013
-11.1817226890756,19.1159081598392
-10.5682773109244,18.9464117624978
-10.3357188729505,18.8550420168067
-9.9548319327731,18.7232946047388
-9.34138655462185,18.4527711117124
-8.7761212101445,18.2415966386555
-8.72794117647059,18.2253895824904
-8.11449579831933,17.8933181847165
-7.63863211451977,17.6281512605042
-7.50105042016806,17.5613142311521
-6.8876050420168,17.1554775852337
-6.68470197580913,17.0147058823529
-6.27415966386555,16.7117121280729
-5.86513193833868,16.4012605042017
-5.66071428571428,16.2381571710384
-5.0938383088445,15.7878151260504
-5.04726890756302,15.7479753224156
-4.43382352941176,15.213131472927
-4.39210303099476,15.1743697478992
-3.8203781512605,14.6175430207485
-3.76251602342005,14.5609243697479
-3.20693277310924,13.9741411985778
-3.18225963430731,13.9474789915966
-2.69524257341778,13.3340336134454
-2.59348739495798,13.2068411999751
-2.22684454047624,12.7205882352941
-1.98004201680672,12.3521053182363
-1.81719544110741,12.1071428571429
-1.44984061258475,11.4936974789916
-1.36659663865546,11.303585168581
-1.16597072469069,10.8802521008403
-0.905732505011277,10.2668067226891
-0.753151260504197,9.81707503345233
-0.692232962274897,9.65336134453782
-0.567395058737736,9.03991596638656
-0.453901803427053,8.4264705882353
-0.397471945166256,7.81302521008404
-0.405873525911794,7.19957983193277
-0.473344124141875,6.58613445378151
-0.619134207353209,5.97268907563025
-0.753151260504197,5.52986603578516
-0.800608666569455,5.35924369747899
-1.11506174742134,4.74579831932773
-1.36659663865546,4.34189536212104
-1.49034946173671,4.13235294117647
-1.93938658036138,3.51890756302521
-1.98004201680672,3.47565912037107
-2.58517303955187,2.90546218487395
-2.59348739495798,2.89794118450012
-3.20693277310924,2.45510051245418
-3.47491127296168,2.29201680672269
-3.8203781512605,2.07443686897001
-4.43382352941176,1.70815994497203
-4.51939392914977,1.67857142857143
-5.04726890756302,1.46376266187484
-5.66071428571428,1.20599073949608
-6.08107123621191,1.06512605042017
-6.27415966386555,0.989109568118542
-6.8876050420168,0.839979626662158
-7.50105042016806,0.675655416365044
-8.11449579831933,0.529574941177917
-8.45813425787345,0.451680672268909
-8.72794117647059,0.380384091131155
-9.34138655462185,0.292580815188721
-9.9548319327731,0.174661039905328
-10.5682773109244,0.0790127548801287
-11.1817226890756,-0.00761214390792808
-11.7951680672269,-0.0685062009252649
-12.4086134453782,-0.129564942833477
-13.0123113824208,-0.161764705882351
-13.0220588235294,-0.162406968645564
-13.6355042016807,-0.185034742914147
-14.0562052162009,-0.161764705882351
-14.2489495798319,-0.153334859212975
-14.8623949579832,-0.117600658725718
-15.4758403361345,-0.0530924160651703
-16.0892857142857,0.0227509792731737
-16.702731092437,0.152709481718245
-17.3161764705882,0.296138621766649
-17.9296218487395,0.439844815579721
-17.9585292112084,0.451680672268909
-18.5430672268908,0.661473908922599
-19.156512605042,0.922419673974508
-19.4738959612789,1.06512605042017
-19.7699579831933,1.18016356998487
-20.3834033613445,1.52545786296077
-20.6433619201574,1.67857142857143
-20.9968487394958,1.88740135815449
-21.6024573455286,2.29201680672269
-21.6102941176471,2.2969328017463
-22.2237394957983,2.80095360425848
-22.3435247510801,2.90546218487395
-22.8371848739496,3.38708261744033
-22.9641207244203,3.51890756302521
-23.4506302521008,4.04858649035144
-23.5224025942859,4.13235294117647
-23.9679172336598,4.74579831932773
-24.0640756302521,4.90688507811229
-24.3697249117983,5.35924369747899
-24.6775210084034,5.88128463554691
-24.7301253687093,5.97268907563025
-24.9921586664095,6.58613445378151
-25.2436582893572,7.19957983193277
-25.2909663865546,7.38990364408119
-25.2909663865546,7.38990364408119
