"V1","V2"
13.6081932773109,-7.97608723687023
12.0609868816272,-6.89600840336135
11.67448190632,-4.61869747899161
12.8857274004756,-2.34138655462185
13.6081932773109,-1.8250968360157
15.8855042016807,-0.828807753996517
18.1628151260504,-1.13767429217991
19.8520964414292,-2.34138655462185
20.4401260504202,-3.45844166250171
20.8418278222134,-4.61869747899161
20.4401260504202,-5.92143012300159
20.0062886784634,-6.89600840336135
18.1628151260504,-8.33802581100035
15.8855042016807,-8.62544190919702
13.6081932773109,-7.97608723687023
13.6081932773109,-7.97608723687023
