xx,yy,start_time
0,13.25,'06-09-2019 21:24:25'
1,14,'06-09-2019 21:24:26'
0.5,12.5,'06-09-2019 21:24:29'
0.75,12.5,'06-09-2019 21:24:31'
1.5,12.5,'06-09-2019 21:24:33'
1.25,12.25,'06-09-2019 21:24:35'
0.75,12.75,'06-09-2019 21:24:36'
0.5,11.25,'06-09-2019 21:24:38'
1.25,14.75,'06-09-2019 21:24:40'
1.5,14,'06-09-2019 21:24:42'
0.5,15.5,'06-09-2019 21:24:44'
-0.75,12.75,'06-09-2019 21:24:47'
-1.75,9,'06-09-2019 21:24:49'
0.25,10.75,'06-09-2019 21:24:51'
-0.5,14,'06-09-2019 21:24:55'
-2.75,11.75,'06-09-2019 21:24:57'
-2.75,11.75,'06-09-2019 21:24:59'
-2.5,13.25,'06-09-2019 21:25:02'
0.75,14.25,'06-09-2019 21:25:04'
0.5,14.5,'06-09-2019 21:25:06'
-0.75,12.75,'06-09-2019 21:25:08'
-0.5,13.25,'06-09-2019 21:25:10'
0.5,15,'06-09-2019 21:25:12'
-0.25,13.5,'06-09-2019 21:25:15'
6.25,5.75,'06-09-2019 21:25:19'
-1.75,15.25,'06-09-2019 21:25:24'
-1.5,13.25,'06-09-2019 21:25:26'
-0.75,12.75,'06-09-2019 21:25:28'
0,13.5,'06-09-2019 21:25:30'
0.5,13.75,'06-09-2019 21:25:32'
-9.5,6.25,'06-09-2019 21:25:34'
-5.75,-2.25,'06-09-2019 21:25:37'
0.5,12.5,'06-09-2019 21:25:38'
0.5,13.75,'06-09-2019 21:25:40'
0.25,14.25,'06-09-2019 21:25:43'
-0.75,13.25,'06-09-2019 21:25:45'
0.25,12,'06-09-2019 21:25:47'
0,13.5,'06-09-2019 21:25:49'
-0.75,15,'06-09-2019 21:25:53'
0,15.5,'06-09-2019 21:25:55'
0.25,14.25,'06-09-2019 21:25:57'
0,15,'06-09-2019 21:26:00'
-0.25,15.25,'06-09-2019 21:26:02'
0,13.25,'06-09-2019 21:26:04'
-0.5,15.5,'06-09-2019 21:26:06'
-0.75,16,'06-09-2019 21:26:09'
0.25,12.5,'06-09-2019 21:26:11'
-1.25,14.5,'06-09-2019 21:26:15'
-2.75,15,'06-09-2019 21:26:17'
-1.25,15.5,'06-09-2019 21:26:19'
-0.75,15.75,'06-09-2019 21:26:21'
-0.5,16.5,'06-09-2019 21:26:23'
-2,17.5,'06-09-2019 21:26:27'
-2.25,15,'06-09-2019 21:26:32'
-1.75,12,'06-09-2019 21:26:36'
-2.5,17.5,'06-09-2019 21:26:38'
-3,16.75,'06-09-2019 21:26:40'
-3,14.75,'06-09-2019 21:26:42'
-2.5,12.25,'06-09-2019 21:26:44'
-3,15,'06-09-2019 21:26:46'
-2.5,15.5,'06-09-2019 21:26:55'
-2.75,15.5,'06-09-2019 21:26:58'
-1.75,15.5,'06-09-2019 21:27:00'
-2.75,16.25,'06-09-2019 21:27:02'
-2,16.25,'06-09-2019 21:27:04'
-2.25,16,'06-09-2019 21:27:12'
-2,15.75,'06-09-2019 21:27:14'
-2.75,15.5,'06-09-2019 21:27:22'
-1,16.5,'06-09-2019 21:27:26'
-1,16.25,'06-09-2019 21:27:29'
-0.75,18.25,'06-09-2019 21:27:30'
-0.75,18,'06-09-2019 21:27:33'
-0.5,17.5,'06-09-2019 21:27:35'
0,17.5,'06-09-2019 21:27:37'
-0.25,17.75,'06-09-2019 21:27:40'
-0.5,18,'06-09-2019 21:27:42'
-1,17.5,'06-09-2019 21:27:54'
-1.25,18.25,'06-09-2019 21:27:56'
-2.5,17.5,'06-09-2019 21:28:03'
0.25,16.75,'06-09-2019 21:28:08'
-0.5,16.75,'06-09-2019 21:28:10'
-0.75,14.25,'06-09-2019 21:28:13'
0.5,13.75,'06-09-2019 21:28:15'
-0.75,16.75,'06-09-2019 21:28:17'
1.75,21.75,'06-09-2019 21:28:19'
-1.25,19.5,'06-09-2019 21:28:23'
-1.25,20,'06-09-2019 21:28:25'
1,17.5,'06-09-2019 21:28:27'
1,17.5,'06-09-2019 21:28:31'
1.75,20.25,'06-09-2019 21:28:36'
2.25,20.25,'06-09-2019 21:28:38'
1,19.75,'06-09-2019 21:28:44'
0.5,19.5,'06-09-2019 21:28:46'
0.75,22,'06-09-2019 21:28:48'
0,21.25,'06-09-2019 21:28:50'
0,21.25,'06-09-2019 21:28:52'
2,24.5,'06-09-2019 21:28:54'
1,24,'06-09-2019 21:28:56'
0.75,20.75,'06-09-2019 21:28:58'
2.25,24,'06-09-2019 21:29:05'
1.5,20.5,'06-09-2019 21:29:07'
1.75,24.25,'06-09-2019 21:29:09'
-0.5,21.25,'06-09-2019 21:29:12'
3.5,27,'06-09-2019 21:29:15'
4,26.5,'06-09-2019 21:29:21'
4.25,27.25,'06-09-2019 21:29:23'
4.25,27.75,'06-09-2019 21:29:26'
4.75,27.75,'06-09-2019 21:29:33'
5.75,27.25,'06-09-2019 21:29:35'
6.5,26.25,'06-09-2019 21:29:37'
8.75,28.5,'06-09-2019 21:29:45'
9.25,30.25,'06-09-2019 21:29:52'
5.5,24,'06-09-2019 21:29:56'
4.5,24.5,'06-09-2019 21:29:58'
6.5,25.25,'06-09-2019 21:30:01'
4.75,25.75,'06-09-2019 21:30:03'
4.5,26.25,'06-09-2019 21:30:06'
6.5,27.25,'06-09-2019 21:30:08'
4.75,24.5,'06-09-2019 21:30:10'
5,25.5,'06-09-2019 21:30:12'
-9.5,11.5,'06-09-2019 21:30:20'
2.5,24.75,'06-09-2019 21:30:22'
