xx,yy,start_time
-10,2.75,'07-09-2019 22:19:50'
-10.25,2.25,'07-09-2019 22:19:52'
-9.5,2.5,'07-09-2019 22:19:57'
-10.5,5,'07-09-2019 22:19:59'
-9.25,2.5,'07-09-2019 22:20:06'
-9.25,1.75,'07-09-2019 22:20:08'
-9.25,2.5,'07-09-2019 22:20:10'
-9.5,2.25,'07-09-2019 22:20:12'
-10.25,3,'07-09-2019 22:20:14'
-9.75,2.5,'07-09-2019 22:20:16'
-12,7.5,'07-09-2019 22:20:31'
-10.5,3.25,'07-09-2019 22:20:35'
-13.75,7,'07-09-2019 22:20:39'
-10.25,2.5,'07-09-2019 22:20:41'
-10.5,3,'07-09-2019 22:20:43'
-10.25,2.25,'07-09-2019 22:20:45'
-10,2.5,'07-09-2019 22:20:47'
-11.25,2.25,'07-09-2019 22:20:49'
-9.75,2.25,'07-09-2019 22:20:51'
-9.75,2.75,'07-09-2019 22:20:53'
-15.25,7,'07-09-2019 22:20:55'
-9.5,2.25,'07-09-2019 22:20:57'
-10,2.75,'07-09-2019 22:21:01'
-10,2.75,'07-09-2019 22:21:03'
-9.75,2.25,'07-09-2019 22:21:05'
-10,2.5,'07-09-2019 22:21:07'
-9,1.75,'07-09-2019 22:21:09'
-8.75,1.5,'07-09-2019 22:21:11'
-10.25,2.5,'07-09-2019 22:21:13'
-10.5,2.75,'07-09-2019 22:21:15'
-9.5,1.75,'07-09-2019 22:21:17'
-9.75,2.5,'07-09-2019 22:21:19'
-9,2.5,'07-09-2019 22:21:22'
-8.75,2,'07-09-2019 22:21:24'
-9.5,2.25,'07-09-2019 22:21:26'
-9.5,2,'07-09-2019 22:21:28'
-9.25,2,'07-09-2019 22:21:30'
-11.75,6.5,'07-09-2019 22:21:32'
-9.25,2.25,'07-09-2019 22:21:34'
-8.5,1.5,'07-09-2019 22:21:36'
-11.25,6.25,'07-09-2019 22:21:38'
-9.25,2.5,'07-09-2019 22:21:40'
-16.25,6,'07-09-2019 22:21:42'
-9.25,2,'07-09-2019 22:21:45'
-9.75,2.5,'07-09-2019 22:21:47'
-9.5,2.5,'07-09-2019 22:21:51'
-9.5,2.75,'07-09-2019 22:21:54'
-9.75,2.25,'07-09-2019 22:21:56'
-9,2.5,'07-09-2019 22:21:58'
-9,2.5,'07-09-2019 22:22:00'
-9.25,2.75,'07-09-2019 22:22:02'
-8.75,2.75,'07-09-2019 22:22:05'
-9,2,'07-09-2019 22:22:07'
-9.25,2,'07-09-2019 22:22:09'
-9,2.5,'07-09-2019 22:22:11'
-9,3,'07-09-2019 22:22:13'
